study_hours,attendance,previous_score,extra_activities,result
2.9,55.2,48.8,No,Fail
5.1,100.0,74.2,Yes,Pass
5.1,92.7,73.9,Yes,Pass
4.3,68.0,60.4,Yes,Pass
0.7,49.3,69.9,No,Fail
6.7,95.3,46.2,Yes,Pass
2.6,73.3,78.9,No,Pass
1.5,93.6,62.2,No,Fail
0.3,51.1,57.2,No,Fail
4.7,66.0,80.7,Yes,Pass
5.4,75.1,54.4,No,Pass
0.1,75.7,43.9,No,Fail
4.1,68.2,41.7,No,Fail
1.8,84.3,74.1,No,Pass
5.2,59.0,45.8,No,Fail
1.4,72.9,91.3,No,Fail
5.5,76.8,33.8,Yes,Fail
3.1,82.7,90.4,Yes,Pass
7.5,85.7,68.2,No,Pass
1.1,58.1,63.5,No,Fail
2.7,52.0,56.8,No,Fail
0.9,94.2,71.0,No,Fail
7.4,80.0,64.4,Yes,Pass
7.0,63.8,81.5,Yes,Pass
2.1,98.3,66.7,No,Fail
5.3,76.7,67.3,No,Pass
6.5,92.7,59.5,Yes,Pass
4.4,76.0,64.1,No,Fail
4.2,100.0,69.6,Yes,Pass
1.9,100.0,39.3,No,Fail
0.7,71.3,44.8,Yes,Fail
7.2,89.6,76.1,No,Pass
7.2,84.7,67.6,Yes,Pass
5.1,95.5,62.2,No,Pass
2.7,60.5,65.3,Yes,Fail
2.8,85.3,70.2,Yes,Pass
5.8,90.9,56.9,Yes,Pass
7.2,48.6,53.3,No,Pass
7.1,57.3,67.9,No,Pass
6.2,44.4,50.3,Yes,Fail
5.1,71.0,71.1,No,Pass
0.7,85.8,39.5,No,Fail
1.3,97.5,80.4,No,Fail
7.2,76.1,72.1,Yes,Pass
4.9,99.4,68.8,No,Pass
0.1,54.3,79.7,Yes,Fail
0.8,49.4,90.0,Yes,Fail
5.3,74.2,80.2,No,Pass
0.0,80.8,37.4,Yes,Fail
1.3,74.5,45.8,No,Fail
4.4,44.0,55.6,No,Fail
5.5,73.7,65.4,No,Pass
5.2,55.4,72.8,No,Fail
1.8,85.0,54.1,Yes,Fail
5.7,80.5,67.8,Yes,Pass
1.9,60.9,53.7,No,Fail
2.6,67.3,55.8,Yes,Fail
6.0,59.1,43.9,Yes,Fail
5.2,74.1,51.2,Yes,Pass
6.8,89.3,44.7,Yes,Pass
5.3,60.2,50.4,Yes,Pass
4.5,82.6,80.8,Yes,Pass
0.7,67.0,50.8,No,Fail
2.9,63.1,100.0,No,Pass
2.1,73.4,72.4,No,Fail
2.0,59.5,67.8,Yes,Fail
7.8,66.7,52.1,Yes,Pass
3.1,57.0,75.5,Yes,Pass
7.1,100.0,56.4,No,Pass
5.0,75.5,66.8,No,Fail
6.4,64.5,100.0,Yes,Pass
4.0,78.2,63.6,No,Pass
4.6,73.3,82.2,Yes,Pass
3.9,71.7,54.5,No,Fail
1.6,84.2,64.5,No,Fail
5.8,86.4,91.6,No,Pass
2.2,67.0,55.6,No,Fail
0.2,66.4,92.2,No,Fail
5.2,70.9,75.6,Yes,Pass
1.4,40.5,56.6,No,Fail
7.5,52.3,74.5,Yes,Pass
7.6,95.5,79.6,No,Pass
7.3,99.7,74.3,No,Pass
3.0,71.3,41.4,No,Fail
0.1,83.6,54.1,No,Fail
7.4,79.7,61.3,No,Pass
3.4,100.0,63.9,No,Pass
7.7,91.8,74.3,No,Pass
7.7,73.1,67.7,Yes,Pass
6.8,60.7,45.0,Yes,Fail
2.4,50.9,70.7,Yes,Fail
3.1,78.1,74.2,Yes,Pass
6.8,63.7,73.4,No,Pass
2.5,53.7,81.2,Yes,Fail
1.4,65.3,77.5,No,Fail
4.5,58.8,71.9,Yes,Pass
7.5,100.0,63.9,Yes,Pass
5.6,88.2,40.1,No,Pass
4.6,74.9,71.4,No,Pass
0.8,97.2,68.1,No,Fail
4.9,76.2,69.1,No,Pass
7.9,62.1,45.8,No,Pass
1.1,97.8,48.8,Yes,Fail
4.1,83.1,80.8,No,Pass
7.0,59.4,64.4,No,Pass
5.9,72.1,75.2,No,Pass
5.6,61.9,65.4,Yes,Pass
5.6,54.3,65.4,No,Pass
2.9,88.9,79.1,Yes,Pass
2.3,100.0,57.3,Yes,Fail
6.5,54.0,66.4,Yes,Pass
6.5,83.4,58.1,No,Pass
6.9,65.2,58.5,No,Pass
7.3,67.7,60.4,No,Pass
4.1,66.1,68.3,No,Pass
4.0,62.0,57.8,No,Fail
6.4,75.7,83.8,Yes,Pass
5.2,62.5,51.6,Yes,Pass
5.6,79.1,62.2,No,Pass
6.4,74.2,58.4,Yes,Pass
7.1,71.4,86.7,No,Pass
2.7,61.4,67.9,No,Fail
3.0,66.3,80.5,No,Fail
0.8,86.3,42.7,No,Fail
4.6,82.5,69.0,No,Pass
0.3,60.3,78.3,No,Fail
3.7,76.5,66.2,No,Pass
4.3,86.3,81.0,No,Pass
2.3,50.0,57.2,Yes,Fail
4.7,83.2,86.1,No,Pass
0.2,65.1,99.5,No,Fail
0.3,83.6,59.6,Yes,Fail
6.6,63.6,58.3,No,Fail
2.9,47.9,86.8,No,Fail
1.0,50.6,88.7,No,Fail
4.2,75.7,57.2,Yes,Fail
6.2,78.9,58.7,No,Pass
1.7,61.4,60.8,No,Fail
5.0,84.6,44.8,Yes,Fail
0.7,50.1,51.2,Yes,Fail
