age,gender,attendance_percentage,weekly_study_hours,previous_grade,internet_access,parent_education,family_support,failures,final_score,grade
18,Male,78.0,5.5,59.0,Yes,Masters,Yes,0,56.6,C
17,Male,100.0,6.2,94.9,Yes,PhD,Yes,0,80.0,B
17,Female,64.7,2.9,52.5,Yes,Masters,No,0,49.7,D
16,Female,100.0,2.8,56.7,Yes,Bachelors,Yes,2,53.8,D
15,Female,78.0,4.7,62.8,Yes,Bachelors,Yes,1,52.0,D
18,Female,65.2,2.9,77.6,Yes,High School,Yes,0,58.4,C
16,Male,67.7,3.8,68.1,Yes,PhD,Yes,1,49.2,D
18,Male,70.2,9.2,45.6,Yes,High School,Yes,0,59.5,C
18,Male,81.4,3.4,57.0,Yes,High School,Yes,1,55.4,C
16,Female,82.8,3.1,55.9,No,Bachelors,Yes,1,48.9,D
16,Male,66.4,,63.8,Yes,,Yes,0,43.6,D
16,Female,74.6,5.9,71.4,Yes,Bachelors,No,1,65.2,C
16,Female,100.0,3.5,71.3,Yes,Bachelors,Yes,0,44.5,D
16,Male,100.0,2.4,38.4,Yes,Bachelors,Yes,0,70.3,B
18,Male,81.5,7.3,81.0,Yes,Masters,Yes,0,59.1,C
16,Male,75.6,7.5,68.8,No,High School,No,1,45.5,D
15,Female,76.8,2.5,85.8,Yes,Bachelors,No,0,57.0,C
17,Male,84.2,0.0,71.7,Yes,Bachelors,No,0,46.5,D
16,Female,59.7,6.5,81.5,Yes,Bachelors,Yes,1,65.1,C
16,Male,,2.3,72.0,Yes,Masters,No,0,40.2,D
18,Female,50.0,6.0,85.2,Yes,High School,No,0,55.8,C
16,Female,81.0,,72.8,Yes,Bachelors,Yes,0,45.1,D
16,Male,84.7,6.2,63.5,Yes,High School,Yes,0,65.8,C
16,Female,67.8,1.0,99.1,No,Masters,Yes,0,57.6,C
18,Female,98.6,5.8,78.3,Yes,High School,No,0,71.3,B
16,Male,56.6,4.0,73.6,Yes,Bachelors,Yes,3,24.3,F
17,Female,53.0,1.6,45.9,Yes,High School,Yes,1,17.8,F
18,Male,78.4,3.0,45.7,Yes,High School,No,0,43.4,D
17,Female,90.7,5.7,69.4,Yes,Bachelors,No,0,73.9,B
18,Male,100.0,4.3,67.2,Yes,Masters,No,0,60.1,C
16,Male,68.1,5.5,55.8,No,Bachelors,No,0,38.2,F
17,Female,91.2,8.9,67.1,No,Masters,Yes,0,81.5,B
18,Female,74.4,0.1,88.8,No,Bachelors,No,0,48.5,D
15,Female,72.4,8.0,75.4,Yes,Bachelors,Yes,2,62.9,C
16,Female,88.3,4.3,47.9,Yes,High School,No,0,40.5,D
18,Female,84.8,1.8,63.3,Yes,Masters,Yes,0,37.7,F
15,Male,51.4,0.7,52.9,Yes,High School,No,2,6.6,F
18,Female,97.1,3.5,59.2,Yes,Masters,No,1,44.6,D
15,Male,95.7,6.3,58.8,Yes,Masters,No,0,65.1,C
16,Male,65.6,3.7,57.8,Yes,Masters,Yes,1,36.1,F
17,Female,80.9,7.8,46.2,Yes,Bachelors,Yes,0,67.2,C
15,Male,82.4,0.4,63.1,Yes,Bachelors,No,1,34.6,F
18,Male,78.9,4.0,56.6,Yes,Masters,Yes,0,56.8,C
16,Male,66.7,0.9,21.1,Yes,High School,No,1,14.0,F
15,Male,64.9,4.9,95.8,Yes,Bachelors,Yes,3,46.7,D
18,Female,74.6,6.2,81.3,Yes,High School,No,2,47.9,D
18,Male,92.6,2.9,59.4,Yes,Bachelors,Yes,2,48.0,D
18,Female,83.2,0.0,65.3,Yes,High School,No,0,35.3,F
15,Female,69.4,4.5,47.4,Yes,High School,No,0,55.1,C
15,Male,86.6,5.1,90.4,Yes,High School,Yes,0,69.9,C
15,Female,32.3,5.0,93.5,Yes,Bachelors,Yes,1,32.2,F
17,Female,92.2,7.1,67.4,Yes,Bachelors,Yes,2,59.3,C
15,Female,48.9,1.3,80.4,Yes,High School,Yes,0,33.7,F
15,Male,69.6,5.7,67.6,Yes,Bachelors,Yes,2,50.7,D
15,Female,58.2,7.0,44.9,Yes,High School,No,1,56.5,C
17,Female,55.6,0.0,58.8,No,Bachelors,Yes,3,2.3,F
15,Female,92.4,4.8,67.0,Yes,Bachelors,Yes,2,54.5,D
18,Male,68.0,2.7,58.2,Yes,Bachelors,Yes,0,29.2,F
15,Female,80.2,3.8,61.7,Yes,Bachelors,Yes,0,60.1,C
18,Male,74.3,4.9,63.6,Yes,High School,Yes,0,46.6,D
18,Male,82.2,2.8,63.8,Yes,Masters,No,0,47.0,D
18,Male,76.2,2.3,65.8,Yes,Bachelors,No,0,37.5,F
17,Male,55.8,4.1,49.1,No,Bachelors,Yes,1,38.3,F
17,Male,89.9,1.3,54.2,Yes,Bachelors,Yes,2,45.3,D
17,Male,67.6,1.3,45.7,Yes,High School,No,0,31.8,F
15,Female,51.7,5.7,79.7,Yes,Bachelors,Yes,0,48.0,D
18,Male,68.6,1.1,33.4,No,Bachelors,Yes,0,44.6,D
17,Female,97.5,5.7,82.3,Yes,High School,Yes,0,67.7,C
17,Female,87.8,5.2,85.8,Yes,High School,Yes,0,50.1,D
15,Male,69.8,0.0,60.5,Yes,High School,No,0,39.7,F
17,Female,69.8,2.3,26.0,Yes,Masters,No,0,19.8,F
15,Female,70.2,7.0,59.6,Yes,Bachelors,Yes,0,68.6,C
16,Female,100.0,1.5,64.0,Yes,High School,Yes,0,53.5,D
17,Female,,2.8,49.8,Yes,High School,No,0,48.7,D
16,Male,81.5,5.2,57.3,Yes,Bachelors,No,0,68.0,C
15,Female,90.5,6.0,88.0,No,Masters,No,0,61.1,C
18,Male,78.6,3.4,75.0,Yes,High School,No,0,48.7,D
17,Female,71.1,2.5,51.1,No,High School,Yes,3,17.3,F
15,Female,72.1,7.6,41.0,Yes,Masters,No,0,66.7,C
18,Male,73.9,8.3,60.1,Yes,High School,No,0,52.5,D
18,Female,74.4,6.4,61.8,Yes,High School,Yes,1,45.4,D
16,Female,85.9,4.2,72.4,Yes,PhD,No,0,68.3,C
15,Female,75.8,2.0,57.0,Yes,Bachelors,Yes,2,27.1,F
18,Male,86.0,,72.7,Yes,High School,Yes,0,57.4,C
17,Female,73.8,5.3,94.0,Yes,High School,Yes,0,53.9,D
17,Male,76.2,5.0,77.2,Yes,High School,Yes,0,83.3,B
16,Female,45.0,7.5,64.3,Yes,High School,Yes,0,37.0,F
18,Male,88.7,5.6,62.3,Yes,Masters,Yes,0,63.0,C
15,Male,80.2,0.2,59.6,Yes,,Yes,0,45.0,D
17,Female,90.0,6.6,82.7,Yes,Bachelors,Yes,0,94.6,A
18,Female,31.6,1.5,55.6,No,Masters,Yes,0,13.1,F
18,Male,100.0,3.0,65.7,Yes,Bachelors,Yes,0,82.8,B
16,Male,72.9,4.6,65.8,Yes,High School,No,1,51.1,D
17,Female,91.6,9.0,57.5,Yes,Bachelors,Yes,0,76.6,B
17,Male,59.4,11.8,44.4,Yes,Masters,Yes,0,53.2,D
15,Female,84.2,5.5,69.8,No,Masters,No,0,66.6,C
17,Female,59.2,3.5,64.1,Yes,High School,No,1,27.4,F
15,Female,65.6,5.3,72.5,Yes,Bachelors,No,0,66.7,C
17,Female,100.0,6.2,57.0,Yes,Bachelors,Yes,0,59.1,C
16,Male,72.1,3.2,83.3,Yes,Masters,Yes,0,60.5,C
17,Female,78.3,8.5,51.8,No,High School,No,0,50.0,D
15,Male,88.1,4.6,90.7,Yes,Bachelors,Yes,2,49.4,D
15,Female,82.4,5.2,38.8,Yes,Masters,Yes,1,52.4,D
16,Male,77.3,5.7,71.5,Yes,Bachelors,Yes,0,68.8,C
17,Female,80.5,5.1,72.1,Yes,Bachelors,No,0,71.7,B
17,Male,100.0,6.1,53.1,Yes,High School,Yes,2,33.1,F
16,Male,74.1,2.5,71.4,Yes,High School,No,0,58.6,C
17,Female,78.0,2.6,84.2,Yes,High School,No,3,58.1,C
17,Female,90.8,1.2,31.7,No,Masters,Yes,2,21.2,F
15,Female,91.6,5.1,72.5,Yes,High School,No,0,81.4,B
17,Female,92.8,5.9,27.6,Yes,Bachelors,No,2,31.6,F
17,Male,84.6,5.1,50.5,Yes,Bachelors,No,0,39.4,F
16,Female,57.9,8.2,89.4,No,High School,Yes,1,55.3,C
16,Male,99.5,4.0,56.3,Yes,Bachelors,No,0,68.6,C
18,Male,57.8,5.7,47.4,Yes,Bachelors,Yes,0,37.2,F
15,Female,79.5,1.3,62.0,Yes,Masters,No,0,41.3,D
17,Male,63.7,3.0,96.0,Yes,Bachelors,Yes,1,59.6,C
17,Male,74.0,5.7,37.5,Yes,Bachelors,Yes,0,48.0,D
18,Male,79.9,6.1,49.2,Yes,High School,No,0,56.6,C
17,Male,79.8,3.3,87.5,Yes,Masters,No,0,65.6,C
15,Female,81.3,3.8,92.9,Yes,High School,Yes,0,72.2,B
18,Female,99.2,0.2,63.4,Yes,Masters,Yes,0,52.5,D
15,Female,81.8,3.1,46.4,No,High School,Yes,0,46.1,D
18,Female,71.3,6.2,96.4,No,Masters,No,0,59.8,C
18,Male,89.5,5.4,88.9,Yes,Bachelors,No,0,84.2,B
16,Male,92.8,5.3,75.2,Yes,Masters,No,0,62.8,C
15,Female,,4.1,52.8,Yes,High School,Yes,0,51.9,D
17,Female,84.0,4.0,64.3,Yes,Bachelors,Yes,0,56.7,C
17,Female,85.5,2.3,62.6,Yes,Bachelors,No,3,31.0,F
15,Male,70.5,5.7,70.0,Yes,Masters,No,0,53.6,D
17,Female,95.6,5.1,86.8,Yes,High School,Yes,2,50.2,D
17,Female,72.7,5.2,78.2,Yes,PhD,No,1,39.2,F
15,Female,76.9,2.7,48.8,Yes,Masters,Yes,0,37.6,F
18,Male,72.4,0.0,85.6,Yes,High School,Yes,0,47.5,D
15,Male,75.2,6.7,69.7,Yes,Masters,Yes,1,61.3,C
18,Male,58.6,2.8,75.3,Yes,Bachelors,Yes,0,59.4,C
17,Male,53.4,1.8,87.0,Yes,Bachelors,Yes,0,45.5,D
17,Male,98.9,5.7,48.3,Yes,High School,Yes,1,45.4,D
17,Male,62.3,3.0,64.5,Yes,Bachelors,Yes,0,33.3,F
16,Male,60.1,6.6,57.0,Yes,Bachelors,No,1,46.5,D
18,Male,42.7,5.5,41.5,No,Bachelors,Yes,0,46.8,D
16,Female,65.4,5.7,70.2,Yes,Bachelors,Yes,1,63.1,C
16,Female,55.2,0.6,100.0,Yes,Bachelors,Yes,0,59.7,C
15,Male,99.6,7.0,37.4,Yes,Bachelors,Yes,0,68.3,C
16,Male,90.1,4.7,64.5,No,High School,No,0,72.0,B
15,Female,64.7,3.1,74.6,No,Masters,Yes,0,55.4,C
15,Male,100.0,4.4,66.8,Yes,Bachelors,No,2,56.0,C
16,Male,89.7,0.0,63.3,No,High School,No,0,39.4,F
18,Male,70.1,5.0,45.5,Yes,High School,Yes,1,25.6,F
18,Female,37.5,1.4,68.5,Yes,Bachelors,Yes,0,27.6,F
18,Female,100.0,0.6,53.6,Yes,Masters,Yes,0,53.9,D
18,Female,54.2,0.2,32.2,Yes,High School,Yes,0,21.5,F
18,Female,50.3,6.8,82.9,No,Bachelors,No,0,72.6,B
16,Female,90.3,2.4,79.4,Yes,High School,Yes,0,62.7,C
16,Male,100.0,7.8,65.8,No,Bachelors,Yes,0,85.4,A
17,Female,95.8,2.7,68.4,Yes,PhD,Yes,1,54.4,D
18,Male,83.5,0.0,81.1,Yes,Masters,Yes,1,46.8,D
16,Male,83.9,1.2,68.4,Yes,High School,Yes,0,38.6,F
17,Female,87.8,7.1,78.6,Yes,Bachelors,Yes,0,67.7,C
18,Female,86.4,3.6,60.5,Yes,High School,Yes,0,60.6,C
15,Male,79.2,2.6,84.7,Yes,Bachelors,Yes,0,61.9,C
17,Male,76.6,4.4,69.8,No,Masters,No,0,64.1,C
16,Male,74.1,5.3,67.9,Yes,Masters,No,0,59.7,C
15,Female,63.7,6.8,45.9,Yes,,Yes,2,30.4,F
15,Female,70.8,7.6,69.3,Yes,Masters,Yes,1,80.3,B
15,Female,49.6,3.1,52.5,Yes,,No,0,32.5,F
17,Female,73.5,0.7,55.4,No,High School,Yes,0,49.0,D
16,Female,60.2,3.0,52.8,Yes,Bachelors,Yes,0,37.5,F
15,Male,58.4,4.7,49.0,Yes,Bachelors,Yes,1,43.2,D
18,Female,77.7,1.6,96.9,Yes,,No,0,69.0,C
15,Male,95.9,1.6,85.0,Yes,Bachelors,Yes,0,68.4,C
15,Male,88.8,4.9,93.8,Yes,Bachelors,No,1,42.2,D
17,Male,51.4,3.9,46.7,Yes,High School,No,0,32.2,F
17,Female,60.2,4.1,66.1,Yes,,No,0,60.0,C
16,Female,89.1,2.1,45.6,Yes,Bachelors,No,0,49.6,D
18,Female,60.3,3.4,54.6,Yes,High School,Yes,0,45.8,D
17,Male,71.6,1.7,51.2,Yes,Masters,Yes,0,27.3,F
15,Male,83.3,6.2,83.6,Yes,Masters,No,0,63.9,C
16,Male,60.5,6.6,59.1,Yes,Masters,No,0,55.9,C
15,Male,76.6,0.0,81.0,Yes,High School,Yes,0,54.4,D
15,Male,55.0,1.7,74.1,Yes,High School,No,1,43.8,D
17,Male,66.0,0.3,99.6,No,Bachelors,Yes,0,52.6,D
16,Female,79.8,2.4,42.8,Yes,High School,Yes,0,46.0,D
18,Female,51.1,3.8,83.9,Yes,Masters,Yes,1,47.5,D
18,Female,81.6,0.4,82.2,No,High School,Yes,1,35.0,F
17,Female,74.7,1.7,50.4,Yes,High School,Yes,1,12.2,F
17,Male,83.3,1.5,80.1,Yes,Bachelors,Yes,0,62.9,C
16,Male,78.4,4.5,70.0,Yes,High School,Yes,0,60.2,C
18,Female,95.5,4.2,61.6,Yes,Masters,Yes,1,51.8,D
18,Male,76.9,2.2,52.6,Yes,Bachelors,Yes,1,23.4,F
18,Female,68.6,4.4,54.2,Yes,High School,No,0,49.9,D
15,Female,76.8,2.6,95.7,No,High School,Yes,2,44.2,D
18,Female,83.1,3.3,65.0,Yes,Bachelors,Yes,0,62.4,C
15,Male,75.7,8.2,76.7,Yes,High School,Yes,3,66.3,C
16,Female,75.6,7.4,53.1,Yes,Bachelors,Yes,2,24.6,F
15,Female,64.5,0.8,53.3,Yes,Bachelors,No,1,20.0,F
16,Female,65.1,6.1,81.2,Yes,Bachelors,Yes,2,47.2,D
18,Male,54.0,6.0,44.8,Yes,Masters,No,1,48.4,D
18,Male,100.0,1.1,58.8,Yes,Masters,Yes,0,41.7,D
16,Female,56.3,6.0,65.5,Yes,Masters,Yes,0,73.6,B
17,Male,64.6,7.8,66.7,No,High School,Yes,0,58.9,C
16,Male,64.2,1.2,62.3,No,High School,Yes,0,37.2,F
17,Male,88.4,1.7,70.9,Yes,High School,Yes,1,46.5,D
15,Male,70.6,6.5,75.4,Yes,Masters,Yes,0,62.2,C
15,Male,93.7,4.7,76.0,Yes,PhD,Yes,0,83.6,B
15,Male,64.9,5.4,50.2,No,Masters,Yes,0,37.7,F
18,Male,79.2,4.9,60.7,Yes,High School,No,2,41.2,D
15,Male,62.5,5.0,82.9,Yes,Masters,Yes,0,58.5,C
17,Male,100.0,0.7,78.4,Yes,Bachelors,Yes,0,55.5,C
15,Male,57.2,6.6,44.4,Yes,High School,Yes,0,69.3,C
16,Female,79.6,6.9,70.3,Yes,Bachelors,Yes,1,64.1,C
16,Female,84.5,3.4,35.3,Yes,High School,Yes,0,49.4,D
18,Male,81.2,3.9,65.7,Yes,Bachelors,No,1,58.2,C
16,Female,72.2,0.2,93.5,Yes,High School,No,0,37.1,F
17,Female,73.1,5.3,50.8,Yes,Bachelors,Yes,0,69.0,C
15,Male,75.7,5.4,52.5,Yes,Bachelors,Yes,2,15.5,F
18,Male,72.8,3.8,76.5,No,Masters,Yes,0,50.8,D
15,Male,89.5,6.8,41.9,Yes,Bachelors,No,0,51.2,D
15,Female,100.0,3.2,55.5,No,Bachelors,Yes,0,63.1,C
17,Female,66.6,5.4,73.9,Yes,Masters,Yes,0,63.3,C
16,Male,54.5,1.5,55.5,Yes,Masters,Yes,0,36.3,F
16,Male,73.7,3.9,61.5,Yes,High School,No,0,47.6,D
15,Male,100.0,3.6,76.2,Yes,Bachelors,Yes,0,60.2,C
18,Female,,4.6,71.3,Yes,High School,Yes,0,38.3,F
16,Female,99.6,3.1,69.0,Yes,High School,No,1,59.5,C
18,Female,100.0,3.7,59.9,Yes,Bachelors,Yes,1,62.5,C
16,Female,66.7,6.1,70.6,Yes,Masters,No,0,73.4,B
18,Male,83.5,2.9,63.1,Yes,High School,Yes,0,45.9,D
17,Male,99.4,0.0,71.9,No,Masters,No,0,60.5,C
18,Male,69.3,8.4,57.5,Yes,Masters,No,0,57.0,C
17,Male,71.9,7.5,62.3,No,Masters,Yes,0,73.2,B
17,Female,66.3,0.8,50.2,Yes,High School,No,0,41.5,D
18,Female,59.8,5.7,64.5,Yes,Masters,Yes,0,57.2,C
17,Male,65.3,2.7,52.8,Yes,High School,No,0,34.0,F
15,Male,56.6,4.7,48.3,Yes,Bachelors,Yes,0,51.8,D
17,Female,75.5,4.7,68.9,Yes,High School,No,2,45.5,D
16,Male,63.5,,68.2,Yes,High School,Yes,0,41.9,D
18,Female,78.5,2.0,76.7,Yes,Bachelors,No,0,40.1,D
15,Male,51.7,2.3,58.5,Yes,Bachelors,Yes,1,28.3,F
18,Male,80.0,1.7,71.1,Yes,High School,No,0,63.2,C
16,Male,87.5,1.9,73.3,Yes,High School,No,0,64.3,C
16,Male,45.1,3.8,71.7,Yes,Bachelors,Yes,0,34.4,F
16,Male,80.6,2.2,52.6,Yes,High School,No,0,31.1,F
17,Male,93.4,5.7,67.2,Yes,Masters,No,0,79.1,B
17,Male,56.9,7.7,70.5,Yes,High School,Yes,1,39.9,F
18,Female,100.0,2.5,65.1,Yes,High School,Yes,0,65.2,C
18,Female,81.3,4.6,33.7,Yes,High School,Yes,0,38.7,F
15,Female,64.4,5.2,67.4,Yes,Bachelors,Yes,1,63.5,C
15,Female,74.2,5.2,98.2,Yes,High School,Yes,1,55.8,C
18,Female,83.4,4.2,59.6,No,High School,Yes,0,64.1,C
17,Male,76.1,5.9,54.1,Yes,PhD,Yes,1,54.5,D
16,Male,83.1,5.2,70.6,Yes,Bachelors,Yes,0,66.8,C
18,Female,61.2,0.9,69.7,Yes,High School,Yes,0,22.6,F
15,Male,77.5,6.2,82.9,Yes,Bachelors,No,0,45.0,D
17,Female,53.8,6.2,46.1,Yes,,No,0,40.4,D
18,Female,73.3,2.1,76.0,Yes,High School,Yes,2,40.4,D
18,Male,61.4,4.1,73.9,Yes,High School,No,0,37.4,F
17,Male,64.0,5.7,62.9,Yes,Masters,No,0,42.1,D
18,Male,93.5,3.5,70.1,Yes,Bachelors,No,0,65.9,C
17,Female,91.4,6.7,80.4,Yes,Bachelors,Yes,0,81.5,B
16,Male,84.1,9.9,78.1,No,High School,Yes,0,74.9,B
17,Female,58.6,2.0,47.9,Yes,High School,No,0,38.1,F
17,Female,70.3,0.5,77.3,Yes,Bachelors,No,1,27.2,F
17,Female,93.2,4.8,64.0,Yes,High School,No,0,56.0,C
18,Male,77.1,5.8,66.1,Yes,Bachelors,No,0,73.9,B
18,Male,100.0,3.4,66.1,Yes,Bachelors,Yes,0,65.5,C
17,Female,80.9,7.6,62.7,Yes,High School,Yes,0,65.9,C
18,Male,77.9,0.7,82.9,Yes,Masters,Yes,0,79.5,B
15,Male,70.4,5.7,63.7,Yes,Masters,Yes,1,38.5,F
15,Male,77.0,2.5,48.2,Yes,Bachelors,No,3,27.6,F
18,Female,72.7,8.3,59.1,Yes,High School,Yes,0,77.6,B
18,Female,85.6,9.0,67.7,Yes,High School,Yes,0,69.4,C
17,Male,89.4,2.1,83.4,Yes,Bachelors,No,1,61.7,C
16,Female,63.2,2.6,74.0,Yes,High School,Yes,0,39.3,F
18,Male,55.0,6.1,52.2,Yes,PhD,No,0,40.5,D
15,Male,47.5,3.0,100.0,Yes,High School,No,0,54.2,D
17,Male,82.6,3.9,69.0,No,,Yes,1,58.1,C
18,Male,58.4,4.1,84.1,Yes,High School,Yes,0,65.8,C
15,Female,42.7,0.0,62.7,No,Bachelors,Yes,1,35.7,F
15,Female,80.8,4.0,73.0,Yes,High School,Yes,1,51.6,D
16,Female,100.0,2.3,77.6,Yes,Bachelors,Yes,0,78.3,B
17,Male,74.9,2.8,83.3,Yes,High School,Yes,1,47.6,D
17,Male,87.6,7.6,80.9,No,Masters,No,1,74.3,B
16,Male,76.2,0.9,78.1,Yes,High School,Yes,0,53.5,D
16,Female,73.5,6.0,60.3,Yes,Masters,No,0,60.6,C
17,Male,88.8,3.3,56.4,Yes,Masters,Yes,0,61.7,C
17,Female,70.6,3.3,70.0,Yes,High School,Yes,0,36.5,F
18,Female,79.0,6.0,79.0,Yes,Masters,No,0,55.7,C
18,Female,79.8,4.9,61.7,No,High School,Yes,0,55.2,C
16,Female,65.0,5.4,81.0,No,PhD,Yes,0,46.6,D
18,Female,89.9,6.4,86.8,Yes,Bachelors,No,2,67.2,C
15,Female,72.4,3.2,51.3,No,High School,No,0,47.0,D
18,Male,63.7,2.5,52.4,Yes,High School,No,0,39.1,F
18,Male,83.0,1.3,62.9,Yes,High School,Yes,0,38.1,F
15,Female,61.5,1.9,69.6,Yes,PhD,Yes,0,63.1,C
16,Female,75.4,11.4,57.1,Yes,High School,No,0,86.1,A
15,Male,74.9,7.1,85.3,No,Bachelors,No,0,67.6,C
18,Female,91.3,0.6,71.4,Yes,Bachelors,Yes,0,60.9,C
16,Female,82.1,0.7,65.6,Yes,Masters,No,1,42.8,D
18,Male,74.6,5.2,43.5,Yes,High School,Yes,1,45.5,D
15,Female,,5.4,45.3,Yes,Bachelors,Yes,0,54.9,D
